dataset,retriever,AP@100,nDCG@10,RR@10,P@5,R@5
fln,splade,0.5331527459149347,0.8210877237042074,1.0,0.9933333333333334,0.027362896547190936
fln,e5,0.5116224471528852,0.8024373226977264,1.0,0.9733333333333334,0.026877385432471274
fln,bm25_monot5,0.36953109839579995,0.7752055466935412,1.0,0.9800000000000001,0.02711303747380245
fln,bm25,0.367685137814363,0.7350962822629031,1.0,0.9733333333333334,0.02693285729362227
fln,qwen3,0.1307704695304975,0.3878784009728033,0.47406084656084657,0.3866666666666667,0.010924343652677047
