,euaa (5 topics),euaa (5 topics),euaa (5 topics),euaa (5 topics),euaa (5 topics),fln (30-topic sample),fln (30-topic sample),fln (30-topic sample),fln (30-topic sample),fln (30-topic sample)
,AP@100,nDCG@10,RR@10,P@5,R@5,AP@100,nDCG@10,RR@10,P@5,R@5
retriever,,,,,,,,,,
bm25,0.2877085198570469,0.6522285394440985,1.0,0.96,0.0242923827236988,,,,,
bm25_monot5,0.2874362041373757,0.6899425739493023,1.0,0.96,0.0242923827236988,0.3695310983957999,0.7752055466935412,1.0,0.98,0.0271130374738024
splade,0.4991559662966033,0.7343374994442016,1.0,1.0,0.0252183086496247,0.5331527459149347,0.8210877237042074,1.0,0.9933333333333334,0.0273628965471909
e5,0.4986866059988707,0.7539576003997437,1.0,1.0,0.0252183086496247,0.5116224471528852,0.8024373226977264,1.0,0.9733333333333334,0.0268773854324712
qwen3,0.4987916932380307,0.7891468890405474,1.0,1.0,0.0252183086496247,,,,,
